user_id,movie_id,movie_title,genre,rating
U158,M045,The Wedding Planner's Heart,Romance,5
U399,M036,Synthetic Dawn,Sci-Fi,4
U348,M038,Parallel Code,Sci-Fi,3
U314,M047,"Two Hearts, One City",Romance,4
U245,M054,Nightfall Manor,Horror,5
U259,M002,Midnight Pursuit,Action,3
U334,M020,Suburban Mayhem,Comedy,3
U285,M026,Broken Compass,Drama,4
U308,M018,The Prank War,Comedy,4
U193,M034,Echoes of Andromeda,Sci-Fi,3
U234,M018,The Prank War,Comedy,3
U171,M022,The Inheritance,Drama,3
U204,M049,Midnight Serenade,Romance,5
U226,M026,Broken Compass,Drama,2
U216,M016,Dog Sitter Diaries,Comedy,4
U147,M054,Nightfall Manor,Horror,4
U339,M038,Parallel Code,Sci-Fi,5
U234,M024,A Winter's Promise,Drama,3
U215,M040,Mars Protocol,Sci-Fi,5
U362,M014,Family Reunion Fiasco,Comedy,5
U101,M033,Colony Seven,Sci-Fi,2
U169,M033,Colony Seven,Sci-Fi,3
U261,M033,Colony Seven,Sci-Fi,4
U125,M032,The Quantum Divide,Sci-Fi,4
U169,M040,Mars Protocol,Sci-Fi,3
U312,M043,Second Chances,Romance,4
U275,M016,Dog Sitter Diaries,Comedy,3
U278,M060,Cursed Static,Horror,3
U153,M049,Midnight Serenade,Romance,2
U302,M026,Broken Compass,Drama,5
U327,M032,The Quantum Divide,Sci-Fi,5
U197,M047,"Two Hearts, One City",Romance,4
U329,M008,Crimson Velocity,Action,3
U168,M025,The Long Goodbye,Drama,2
U398,M015,The Interview Trap,Comedy,4
U140,M006,Rogue Circuit,Action,5
U223,M053,The Hollow House,Horror,4
U283,M037,Beyond the Rift,Sci-Fi,1
U295,M008,Crimson Velocity,Action,3
U118,M055,The Uninvited Guest,Horror,4
U123,M018,The Prank War,Comedy,2
U254,M042,The Coffee Shop Letters,Romance,2
U326,M043,Second Chances,Romance,4
U302,M024,A Winter's Promise,Drama,4
U274,M048,The Summer We Met,Romance,4
U301,M004,Blackout Squad,Action,4
U320,M005,Apex Strike,Action,5
U384,M042,The Coffee Shop Letters,Romance,4
U205,M015,The Interview Trap,Comedy,3
U181,M001,Steel Vendetta,Action,5
U286,M007,Last Stand Alpha,Action,4
U144,M056,Shadow Creek,Horror,3
U305,M039,The Singularity Gate,Sci-Fi,2
U165,M018,The Prank War,Comedy,5
U309,M050,Falling for You Again,Romance,4
U369,M032,The Quantum Divide,Sci-Fi,5
U343,M032,The Quantum Divide,Sci-Fi,4
U280,M051,The Basement,Horror,5
U333,M025,The Long Goodbye,Drama,2
U312,M046,Rainy Day Promises,Romance,5
U162,M027,Sunday's Child,Drama,4
U262,M030,Where We Belong,Drama,5
U114,M043,Second Chances,Romance,5
U237,M009,Ghost Payload,Action,4
U117,M005,Apex Strike,Action,4
U158,M043,Second Chances,Romance,4
U395,M034,Echoes of Andromeda,Sci-Fi,4
U223,M019,Blind Date Bingo,Comedy,2
U184,M044,Love at First Flight,Romance,2
U305,M051,The Basement,Horror,5
U305,M020,Suburban Mayhem,Comedy,3
U271,M017,Vacation Gone Wrong,Comedy,2
U298,M033,Colony Seven,Sci-Fi,4
U215,M056,Shadow Creek,Horror,1
U143,M029,Fractured Light,Drama,5
U117,M008,Crimson Velocity,Action,4
U365,M058,Haunted Hollow,Horror,3
U340,M002,Midnight Pursuit,Action,5
U266,M060,Cursed Static,Horror,3
U208,M021,Quiet Waters,Drama,4
U311,M042,The Coffee Shop Letters,Romance,4
U132,M045,The Wedding Planner's Heart,Romance,2
U341,M008,Crimson Velocity,Action,2
U364,M060,Cursed Static,Horror,5
U336,M032,The Quantum Divide,Sci-Fi,4
U333,M044,Love at First Flight,Romance,4
U369,M033,Colony Seven,Sci-Fi,5
U186,M008,Crimson Velocity,Action,4
U246,M004,Blackout Squad,Action,3
U156,M032,The Quantum Divide,Sci-Fi,5
U347,M023,Letters Unsent,Drama,5
U104,M057,The Cellar Door,Horror,2
U181,M029,Fractured Light,Drama,5
U112,M032,The Quantum Divide,Sci-Fi,4
U381,M060,Cursed Static,Horror,3
U360,M049,Midnight Serenade,Romance,5
U334,M045,The Wedding Planner's Heart,Romance,4
U263,M052,Whispers in the Attic,Horror,4
U377,M049,Midnight Serenade,Romance,5
U191,M056,Shadow Creek,Horror,2
U180,M047,"Two Hearts, One City",Romance,5
U272,M042,The Coffee Shop Letters,Romance,4
U247,M014,Family Reunion Fiasco,Comedy,5
U259,M021,Quiet Waters,Drama,5
U192,M038,Parallel Code,Sci-Fi,3
U232,M007,Last Stand Alpha,Action,5
U138,M014,Family Reunion Fiasco,Comedy,5
U106,M058,Haunted Hollow,Horror,3
U114,M050,Falling for You Again,Romance,4
U312,M049,Midnight Serenade,Romance,5
U273,M060,Cursed Static,Horror,3
U125,M027,Sunday's Child,Drama,4
U273,M044,Love at First Flight,Romance,5
U161,M056,Shadow Creek,Horror,4
U395,M041,Autumn in Paris,Romance,2
