movie_id,movie_title,genre
M001,Steel Vendetta,Action
M002,Midnight Pursuit,Action
M003,Iron Protocol,Action
M004,Blackout Squad,Action
M005,Apex Strike,Action
M006,Rogue Circuit,Action
M007,Last Stand Alpha,Action
M008,Crimson Velocity,Action
M009,Ghost Payload,Action
M010,Titan Fall Zero,Action
M011,The Wedding Disaster,Comedy
M012,Office Chaos,Comedy
M013,Roommates Anonymous,Comedy
M014,Family Reunion Fiasco,Comedy
M015,The Interview Trap,Comedy
M016,Dog Sitter Diaries,Comedy
M017,Vacation Gone Wrong,Comedy
M018,The Prank War,Comedy
M019,Blind Date Bingo,Comedy
M020,Suburban Mayhem,Comedy
M021,Quiet Waters,Drama
M022,The Inheritance,Drama
M023,Letters Unsent,Drama
M024,A Winter's Promise,Drama
M025,The Long Goodbye,Drama
M026,Broken Compass,Drama
M027,Sunday's Child,Drama
M028,The Weight of Silence,Drama
M029,Fractured Light,Drama
M030,Where We Belong,Drama
M031,Neon Horizon,Sci-Fi
M032,The Quantum Divide,Sci-Fi
M033,Colony Seven,Sci-Fi
M034,Echoes of Andromeda,Sci-Fi
M035,The Last Signal,Sci-Fi
M036,Synthetic Dawn,Sci-Fi
M037,Beyond the Rift,Sci-Fi
M038,Parallel Code,Sci-Fi
M039,The Singularity Gate,Sci-Fi
M040,Mars Protocol,Sci-Fi
M041,Autumn in Paris,Romance
M042,The Coffee Shop Letters,Romance
M043,Second Chances,Romance
M044,Love at First Flight,Romance
M045,The Wedding Planner's Heart,Romance
M046,Rainy Day Promises,Romance
M047,"Two Hearts, One City",Romance
M048,The Summer We Met,Romance
M049,Midnight Serenade,Romance
M050,Falling for You Again,Romance
M051,The Basement,Horror
M052,Whispers in the Attic,Horror
M053,The Hollow House,Horror
M054,Nightfall Manor,Horror
M055,The Uninvited Guest,Horror
M056,Shadow Creek,Horror
M057,The Cellar Door,Horror
M058,Haunted Hollow,Horror
M059,The Night Watcher,Horror
M060,Cursed Static,Horror
