Date,WithdrawalAmount,DayOfWeek,IsWeekend,Month,IsHolidayIndicator
2023-01-01,5202245,Sunday,1,1,1
2023-01-02,24686212,Monday,0,1,0
2023-01-03,25553319,Tuesday,0,1,0
2023-01-04,19900094,Wednesday,0,1,0
2023-01-05,18711187,Thursday,0,1,0
2023-01-06,22528965,Friday,0,1,0
2023-01-07,22234478,Saturday,1,1,0
2023-01-08,10782889,Sunday,1,1,0
2023-01-09,20128770,Monday,0,1,0
2023-01-10,18783182,Tuesday,0,1,0
2023-01-11,19969581,Wednesday,0,1,0
2023-01-12,21308903,Thursday,0,1,0
2023-01-13,23914949,Friday,0,1,0
2023-01-14,23283787,Saturday,1,1,0
2023-01-15,11564660,Sunday,1,1,0
2023-01-16,19486196,Monday,0,1,0
2023-01-17,20016015,Tuesday,0,1,0
2023-01-18,18414502,Wednesday,0,1,0
2023-01-19,21533893,Thursday,0,1,0
2023-01-20,23957858,Friday,0,1,0
2023-01-21,22226629,Saturday,1,1,0
2023-01-22,10583481,Sunday,1,1,0
2023-01-23,21518073,Monday,0,1,0
2023-01-24,19659625,Tuesday,0,1,0
2023-01-25,19016578,Wednesday,0,1,0
2023-01-26,20534949,Thursday,0,1,0
2023-01-27,24642529,Friday,0,1,0
2023-01-28,22871492,Saturday,1,1,0
2023-01-29,14815636,Sunday,1,1,0
2023-01-30,26666019,Monday,0,1,0
2023-01-31,27481989,Tuesday,0,1,0
2023-02-01,24622549,Wednesday,0,2,0
2023-02-02,26389730,Thursday,0,2,0
2023-02-03,30351030,Friday,0,2,0
2023-02-04,32047078,Saturday,1,2,0
2023-02-05,12394581,Sunday,1,2,0
2023-02-06,20542125,Monday,0,2,0
2023-02-07,19264700,Tuesday,0,2,0
2023-02-08,18882389,Wednesday,0,2,0
2023-02-09,21722126,Thursday,0,2,0
2023-02-10,25142610,Friday,0,2,0
2023-02-11,23318677,Saturday,1,2,0
2023-02-12,10794201,Sunday,1,2,0
2023-02-13,20991031,Monday,0,2,0
2023-02-14,20277416,Tuesday,0,2,0
2023-02-15,19974291,Wednesday,0,2,0
2023-02-16,22061315,Thursday,0,2,0
2023-02-17,24808028,Friday,0,2,0
2023-02-18,23587818,Saturday,1,2,0
2023-02-19,11548603,Sunday,1,2,0
2023-02-20,21171917,Monday,0,2,0
2023-02-21,20884698,Tuesday,0,2,0
2023-02-22,18516384,Wednesday,0,2,0
2023-02-23,21071652,Thursday,0,2,0
2023-02-24,24303051,Friday,0,2,0
2023-02-25,22485548,Saturday,1,2,0
2023-02-26,14529524,Sunday,1,2,0
2023-02-27,28327749,Monday,0,2,0
2023-02-28,25308306,Tuesday,0,2,0
2023-03-01,26529117,Wednesday,0,3,0
2023-03-02,25925678,Thursday,0,3,0
2023-03-03,31548476,Friday,0,3,0
2023-03-04,23382251,Saturday,1,3,0
2023-03-05,12181215,Sunday,1,3,0
2023-03-06,21828974,Monday,0,3,0
2023-03-07,21290682,Tuesday,0,3,0
2023-03-08,19796105,Wednesday,0,3,0
2023-03-09,21188912,Thursday,0,3,0
2023-03-10,25863756,Friday,0,3,0
2023-03-11,23183334,Saturday,1,3,0
2023-03-12,10472551,Sunday,1,3,0
2023-03-13,20192866,Monday,0,3,0
2023-03-14,19775990,Tuesday,0,3,0
2023-03-15,20725142,Wednesday,0,3,0
2023-03-16,21895360,Thursday,0,3,0
2023-03-17,25856384,Friday,0,3,0
2023-03-18,23093971,Saturday,1,3,0
2023-03-19,11914874,Sunday,1,3,0
2023-03-20,22006556,Monday,0,3,0
2023-03-21,20481133,Tuesday,0,3,0
2023-03-22,20808697,Wednesday,0,3,0
2023-03-23,21247998,Thursday,0,3,0
2023-03-24,24990818,Friday,0,3,0
2023-03-25,23274172,Saturday,1,3,0
2023-03-26,10673979,Sunday,1,3,0
2023-03-27,22001803,Monday,0,3,0
2023-03-28,20446399,Tuesday,0,3,0
2023-03-29,26236381,Wednesday,0,3,0
2023-03-30,28647010,Thursday,0,3,0
2023-03-31,33061729,Friday,0,3,0
2023-04-01,31088313,Saturday,1,4,0
2023-04-02,15137256,Sunday,1,4,0
2023-04-03,27307167,Monday,0,4,0
2023-04-04,20946028,Tuesday,0,4,0
2023-04-05,18960325,Wednesday,0,4,0
2023-04-06,20730443,Thursday,0,4,0
2023-04-07,24345757,Friday,0,4,0
2023-04-08,22944724,Saturday,1,4,0
2023-04-09,12361731,Sunday,1,4,0
2023-04-10,20894458,Monday,0,4,0
2023-04-11,31780330,Tuesday,0,4,0
2023-04-12,22002695,Wednesday,0,4,0
2023-04-13,21922648,Thursday,0,4,0
2023-04-14,26513015,Friday,0,4,0
2023-04-15,23140296,Saturday,1,4,0
2023-04-16,11837134,Sunday,1,4,0
2023-04-17,20971411,Monday,0,4,0
2023-04-18,20933706,Tuesday,0,4,0
2023-04-19,21676587,Wednesday,0,4,0
2023-04-20,29934957,Thursday,0,4,0
2023-04-21,26366088,Friday,0,4,0
2023-04-22,24433137,Saturday,1,4,0
2023-04-23,11520164,Sunday,1,4,0
2023-04-24,20600190,Monday,0,4,0
2023-04-25,21462017,Tuesday,0,4,0
2023-04-26,20440634,Wednesday,0,4,0
2023-04-27,22761031,Thursday,0,4,0
2023-04-28,33410640,Friday,0,4,0
2023-04-29,32745291,Saturday,1,4,0
2023-04-30,15349476,Sunday,1,4,0
2023-05-01,27344168,Monday,0,5,0
2023-05-02,27715124,Tuesday,0,5,0
2023-05-03,27210073,Wednesday,0,5,0
2023-05-04,24016965,Thursday,0,5,0
2023-05-05,27069239,Friday,0,5,0
2023-05-06,24832317,Saturday,1,5,0
2023-05-07,13713717,Sunday,1,5,0
2023-05-08,21093825,Monday,0,5,0
2023-05-09,20992774,Tuesday,0,5,0
2023-05-10,20275164,Wednesday,0,5,0
2023-05-11,22394924,Thursday,0,5,0
2023-05-12,24997342,Friday,0,5,0
2023-05-13,25253146,Saturday,1,5,0
2023-05-14,12092760,Sunday,1,5,0
2023-05-15,20928633,Monday,0,5,0
2023-05-16,20732025,Tuesday,0,5,0
2023-05-17,21642299,Wednesday,0,5,0
2023-05-18,23762641,Thursday,0,5,0
2023-05-19,34918590,Friday,0,5,0
2023-05-20,27702748,Saturday,1,5,0
2023-05-21,12805963,Sunday,1,5,0
2023-05-22,21534401,Monday,0,5,0
2023-05-23,19715250,Tuesday,0,5,0
2023-05-24,21717249,Wednesday,0,5,0
2023-05-25,22217372,Thursday,0,5,0
2023-05-26,26257195,Friday,0,5,0
2023-05-27,24267526,Saturday,1,5,0
2023-05-28,12311824,Sunday,1,5,0
2023-05-29,30097092,Monday,0,5,0
2023-05-30,28322269,Tuesday,0,5,0
2023-05-31,27441155,Wednesday,0,5,0
2023-06-01,28601862,Thursday,0,6,0
2023-06-02,32627053,Friday,0,6,0
2023-06-03,31539687,Saturday,1,6,0
2023-06-04,12469487,Sunday,1,6,0
2023-06-05,24603101,Monday,0,6,0
2023-06-06,22257469,Tuesday,0,6,0
2023-06-07,22694141,Wednesday,0,6,0
2023-06-08,22787614,Thursday,0,6,0
2023-06-09,25758102,Friday,0,6,0
2023-06-10,24174316,Saturday,1,6,0
2023-06-11,11846620,Sunday,1,6,0
2023-06-12,25110921,Monday,0,6,0
2023-06-13,21398284,Tuesday,0,6,0
2023-06-14,22670425,Wednesday,0,6,0
2023-06-15,22496089,Thursday,0,6,0
2023-06-16,28089515,Friday,0,6,0
2023-06-17,25705128,Saturday,1,6,0
2023-06-18,12500911,Sunday,1,6,0
2023-06-19,22999734,Monday,0,6,0
2023-06-20,21688727,Tuesday,0,6,0
2023-06-21,22387350,Wednesday,0,6,0
2023-06-22,23085047,Thursday,0,6,0
2023-06-23,25999731,Friday,0,6,0
2023-06-24,24114944,Saturday,1,6,0
2023-06-25,12912293,Sunday,1,6,0
2023-06-26,24814297,Monday,0,6,0
2023-06-27,22657350,Tuesday,0,6,0
2023-06-28,28092184,Wednesday,0,6,0
2023-06-29,30617329,Thursday,0,6,0
2023-06-30,36467513,Friday,0,6,0
2023-07-01,32976872,Saturday,1,7,0
2023-07-02,15955891,Sunday,1,7,0
2023-07-03,30975965,Monday,0,7,0
2023-07-04,23062423,Tuesday,0,7,0
2023-07-05,23775813,Wednesday,0,7,0
2023-07-06,24007477,Thursday,0,7,0
2023-07-07,26284388,Friday,0,7,0
2023-07-08,24282713,Saturday,1,7,0
2023-07-09,14609676,Sunday,1,7,0
2023-07-10,25236571,Monday,0,7,0
2023-07-11,22545519,Tuesday,0,7,0
2023-07-12,21878738,Wednesday,0,7,0
2023-07-13,25487247,Thursday,0,7,0
2023-07-14,26550258,Friday,0,7,0
2023-07-15,24914424,Saturday,1,7,0
