transaction_id,customer_id,transaction_amount,transaction_frequency,transaction_hour,distance_from_usual_location_km,account_age_days
TXN500000,CUST20844,480000,1,8,0.4,1224
TXN500001,CUST20157,23354,1,11,1.2,759
TXN500002,CUST20872,63667,1,17,3.4,949
TXN500003,CUST20395,35539,1,11,2.1,2364
TXN500004,CUST20474,12527,1,19,0.1,3356
TXN500005,CUST20329,23778,2,19,2.6,3947
TXN500006,CUST20382,27311,2,16,3.4,2231
TXN500007,CUST20582,206124,3,16,4.1,1421
TXN500008,CUST20306,23364,1,14,0.4,1256
TXN500009,CUST20745,43396,2,11,4.8,3838
TXN500010,CUST20591,62763,2,19,0.9,590
TXN500011,CUST20214,40914,1,16,0.1,1992
TXN500012,CUST20716,19517,1,14,3.4,2989
TXN500013,CUST20445,97992,2,14,1.9,617
TXN500014,CUST20606,15847,1,10,0.9,1549
TXN500015,CUST20230,480000,1,17,4.4,1501
TXN500016,CUST20460,133905,1,12,1.3,611
TXN500017,CUST20799,29858,1,12,5.2,3777
TXN500018,CUST20823,50430,1,13,0.9,716
TXN500019,CUST20036,282596,2,11,0.8,3090
TXN500020,CUST20158,27707,2,12,0.7,3617
TXN500021,CUST20032,14527,1,15,5.5,732
TXN500022,CUST20276,12877,1,19,0.7,1220
TXN500023,CUST20624,13916,2,16,3.6,2701
TXN500024,CUST20715,34903,1,5,0.7,1830
TXN500025,CUST20160,331929,1,16,4.7,116
TXN500026,CUST20041,78253,1,15,3.3,924
TXN500027,CUST20715,18806,1,16,0.4,1830
TXN500028,CUST20844,473117,1,15,9.5,1224
TXN500029,CUST20419,23042,31,6,0.1,74
TXN500030,CUST20736,111195,1,15,2.1,2486
TXN500031,CUST20395,41853,2,12,8.4,2364
TXN500032,CUST20579,11689,1,13,4.4,961
TXN500033,CUST20748,35384,2,21,5.2,1183
TXN500034,CUST20468,480000,1,15,1.8,478
TXN500035,CUST20487,12426,3,14,5.5,3724
TXN500036,CUST20733,13744,1,20,1.7,361
TXN500037,CUST20370,47733,1,8,9.8,1341
TXN500038,CUST20334,480000,1,18,1.3,1632
TXN500039,CUST20121,25508,1,15,0.9,3348
TXN500040,CUST20642,263016,1,16,0.8,1966
TXN500041,CUST20235,24343,1,18,2.0,284
TXN500042,CUST20583,26668,1,7,0.4,2977
TXN500043,CUST20711,27712,1,15,0.3,1285
TXN500044,CUST20230,359144,3,14,2.2,1501
TXN500045,CUST20571,68737,1,10,0.3,2844
TXN500046,CUST20843,27304,1,21,1.0,2406
TXN500047,CUST20783,24738,1,19,11.6,1349
TXN500048,CUST20796,480000,3,21,3.0,2508
TXN500049,CUST20407,26073,1,16,13.8,3531
TXN500050,CUST20686,26434,1,12,1.4,2170
TXN500051,CUST20008,289242,1,17,11.7,2222
TXN500052,CUST20174,9993,1,16,0.2,3073
TXN500053,CUST20787,31100,1,2,1.1,1833
TXN500054,CUST20691,8330,1,12,4.5,3630
TXN500055,CUST20023,18078,1,22,3.8,3382
TXN500056,CUST20357,28003,1,14,2.6,3693
TXN500057,CUST20756,43667,2,14,1.2,1772
TXN500058,CUST20641,19515,1,9,9.8,3549
TXN500059,CUST20076,17920,23,7,14.7,250
TXN500060,CUST20793,164923,1,22,0.4,2180
TXN500061,CUST20168,24119,1,17,4.4,1793
TXN500062,CUST20716,30806,1,20,0.9,2989
TXN500063,CUST20551,24875,1,13,3.4,3104
TXN500064,CUST20024,25695,1,10,3.1,2148
TXN500065,CUST20053,44723,4,14,1.0,3482
TXN500066,CUST20732,196345,1,19,3.5,1082
TXN500067,CUST20188,26451,1,18,1.4,3897
TXN500068,CUST20842,8424,1,15,0.5,685
TXN500069,CUST20392,24842,2,16,8.5,1043
TXN500070,CUST20684,23210,1,15,1.5,304
TXN500071,CUST20030,22805,2,15,2.6,1911
TXN500072,CUST20442,39212,1,10,6.8,402
TXN500073,CUST20798,31988,1,15,9.4,2940
TXN500074,CUST20781,44513,3,17,2.0,673
TXN500075,CUST20022,10681,2,15,1.0,1228
TXN500076,CUST20539,39895,2,7,3.0,419
TXN500077,CUST20743,395292,1,13,0.4,805
TXN500078,CUST20791,52867,2,16,6.1,796
TXN500079,CUST20599,31441,1,16,4.9,1530
TXN500080,CUST20232,43539,1,12,5.2,3547
TXN500081,CUST20065,29351,1,11,5.2,429
TXN500082,CUST20130,15829,1,20,0.5,354
TXN500083,CUST20334,336781,1,15,3.8,1632
TXN500084,CUST20769,10292,1,18,0.9,1821
TXN500085,CUST20648,17181,2,8,7.4,2441
TXN500086,CUST20068,95201,1,11,6.9,136
TXN500087,CUST20294,44000,1,18,6.6,602
TXN500088,CUST20034,17622,3,16,0.0,3104
TXN500089,CUST20459,75872,1,15,3.5,3658
TXN500090,CUST20637,12342,1,18,1.0,3677
TXN500091,CUST20428,58434,1,14,2.5,2665
TXN500092,CUST20508,6214,4,15,0.4,794
TXN500093,CUST20508,13596,1,20,3.9,794
TXN500094,CUST20175,154551,1,22,2.8,2399
TXN500095,CUST20766,7598585,1,13,0.7,2393
TXN500096,CUST20664,7946,1,15,2.1,580
TXN500097,CUST20350,33161,1,21,8.0,2677
TXN500098,CUST20269,392232,1,17,2.1,1676
TXN500099,CUST20297,29509,1,13,5.4,2130
TXN500100,CUST20217,230411,1,20,0.1,1505
TXN500101,CUST20615,28642,1,11,4.2,49
TXN500102,CUST20414,68442,1,10,9.8,2855
TXN500103,CUST20158,37832,1,13,4.8,3617
TXN500104,CUST20232,14573,1,11,5.9,3547
TXN500105,CUST20076,16202,1,11,0.1,250
TXN500106,CUST20475,92340,1,22,0.5,1155
TXN500107,CUST20063,43692,1,17,5.3,3678
TXN500108,CUST20094,38162,1,18,0.7,2232
TXN500109,CUST20446,21031,1,19,1.6,1890
TXN500110,CUST20380,13674,1,20,2.3,3119
TXN500111,CUST20083,8522557,1,18,0.2,3204
TXN500112,CUST20160,147303,1,11,3.1,116
TXN500113,CUST20234,36549,1,13,5.4,2361
TXN500114,CUST20371,51754,1,16,1.1,645
TXN500115,CUST20650,47426,1,7,2.4,3463
TXN500116,CUST20130,51221,1,13,1.6,354
TXN500117,CUST20709,35997,1,18,3.8,3050
TXN500118,CUST20122,480000,1,17,3.7,2847
TXN500119,CUST20519,80448,2,17,1.5,2453
TXN500120,CUST20635,237246,1,15,9.0,2580
TXN500121,CUST20002,3615513,1,8,3.2,2839
TXN500122,CUST20380,10003,1,12,2.7,3119
TXN500123,CUST20094,63411,1,15,2.1,2232
TXN500124,CUST20246,106406,3,12,5.6,1664
TXN500125,CUST20041,62631,1,22,7.1,924
TXN500126,CUST20470,14419,1,9,0.2,3709
TXN500127,CUST20594,318566,1,14,0.6,3403
TXN500128,CUST20784,15274,3,18,0.9,3215
TXN500129,CUST20604,23489,1,9,2.7,1508
TXN500130,CUST20805,239388,1,15,1.0,420
TXN500131,CUST20603,36381,1,11,2.1,285
TXN500132,CUST20169,287840,3,3,225.0,142
TXN500133,CUST20049,480000,2,12,10.2,3531
TXN500134,CUST20329,12280,4,12,6.1,3947
TXN500135,CUST20362,173670,1,15,0.6,3493
TXN500136,CUST20801,24924,1,10,2.5,1724
TXN500137,CUST20825,136112,1,6,2.9,3984
TXN500138,CUST20886,21889,1,19,2.4,2249
TXN500139,CUST20126,30096,1,11,2.4,918
TXN500140,CUST20256,11600,2,9,0.1,823
TXN500141,CUST20440,36362,1,11,2.4,3722
TXN500142,CUST20357,48638,1,8,1.0,3693
TXN500143,CUST20802,103649,1,16,0.4,958
TXN500144,CUST20078,24900,1,10,0.6,3271
TXN500145,CUST20476,24816,1,22,9.2,660
TXN500146,CUST20213,10216,1,5,2.1,2609
TXN500147,CUST20285,143295,1,22,0.1,110
TXN500148,CUST20268,316872,1,13,2.4,1677
TXN500149,CUST20788,9497,1,16,0.8,278
TXN500150,CUST20382,17971,1,12,0.4,2231
TXN500151,CUST20530,31130,1,16,0.8,227
TXN500152,CUST20372,16497,1,9,0.9,3294
TXN500153,CUST20421,480000,2,6,1.3,3946
